Item,Quantity,Note,Shelf,Date,Code
Wild stew (Vadas),2,Home made,2,22-Feb-2021,053-2923
Gizzard stew,1,Home made,2,22-Feb-2021,053-3240
Duck thighs,3,Home made,2,22-Feb-2021,053-3311
Pork chops,5,Home made,2,22-Feb-2021,053-3417
Pork chops,2,Home made,2,16-Aug-2021,053-3418
Abarolt szalonna,2,Home made,2,22-Feb-2021,053-3517
Smoked cheese rolls (pack of six),1,pack of 6,1,23-Feb-2021,054-3340
sausage meat,1,raw meat to cook,3,03-Jan-2022,003-4932
chicken breast,1,600g with 3-4 pieces,3,03-Jan-2022,003-5020
croissants,1,8 pieces,1,03-Jan-2022,003-5103
pain a chocolate,1,8 pieces,1,03-Jan-2022,003-5121
king prawns,2,150g ready to eat,1,03-Jan-2022,003-5151
turnip,1,pealed and diced small amount,4,03-Jan-2022,003-5250
